node_name,timestamp,confidence,signal_strength,market_condition
Fusion Node—Liquidity + Gamma + Time,2020-01-09 12:00:00,Highest,1.0,normal
Fusion Node—Liquidity + Gamma + Time,2020-02-10 10:00:00,Highest,1.0,normal
Fusion Node—Liquidity + Gamma + Time,2020-03-06 10:00:00,Highest,1.0,normal
Fusion Node—Liquidity + Gamma + Time,2020-03-16 10:00:00,Highest,1.0,normal
Fusion Node—Liquidity + Gamma + Time,2020-03-16 12:00:00,Highest,1.0,normal
Fusion Node—Liquidity + Gamma + Time,2020-03-17 10:00:00,Highest,1.0,normal
Fusion Node—Liquidity + Gamma + Time,2020-03-19 12:00:00,Highest,1.0,normal
Fusion Node—Liquidity + Gamma + Time,2020-03-20 10:00:00,Highest,1.0,normal
Fusion Node—Liquidity + Gamma + Time,2020-03-24 12:00:00,Highest,1.0,normal
Fusion Node—Liquidity + Gamma + Time,2020-04-01 12:00:00,Highest,1.0,normal
Fusion Node—Liquidity + Gamma + Time,2020-04-03 10:00:00,Highest,1.0,normal
Fusion Node—Liquidity + Gamma + Time,2020-04-06 12:00:00,Highest,1.0,normal
Fusion Node—Liquidity + Gamma + Time,2020-04-10 12:00:00,Highest,1.0,normal
Fusion Node—Liquidity + Gamma + Time,2020-04-13 10:00:00,Highest,1.0,normal
Fusion Node—Liquidity + Gamma + Time,2020-04-28 10:00:00,Highest,1.0,normal
Fusion Node—Liquidity + Gamma + Time,2020-05-22 10:00:00,Highest,1.0,normal
Fusion Node—Liquidity + Gamma + Time,2020-05-27 12:00:00,Highest,1.0,normal
Fusion Node—Liquidity + Gamma + Time,2020-06-16 10:00:00,Highest,1.0,normal
Fusion Node—Liquidity + Gamma + Time,2020-06-18 12:00:00,Highest,1.0,normal
Fusion Node—Liquidity + Gamma + Time,2020-06-23 10:00:00,Highest,1.0,normal
Fusion Node—Liquidity + Gamma + Time,2020-07-01 12:00:00,Highest,1.0,normal
Fusion Node—Liquidity + Gamma + Time,2020-07-15 10:00:00,Highest,1.0,normal
Fusion Node—Liquidity + Gamma + Time,2020-08-06 10:00:00,Highest,1.0,normal
Fusion Node—Liquidity + Gamma + Time,2020-08-25 10:00:00,Highest,1.0,normal
Fusion Node—Liquidity + Gamma + Time,2020-08-28 10:00:00,Highest,1.0,normal
Fusion Node—Liquidity + Gamma + Time,2020-09-02 10:00:00,Highest,1.0,normal
Fusion Node—Liquidity + Gamma + Time,2020-09-21 10:00:00,Highest,1.0,normal
Fusion Node—Liquidity + Gamma + Time,2020-10-23 10:00:00,Highest,1.0,normal
Fusion Node—Liquidity + Gamma + Time,2020-11-17 10:00:00,Highest,1.0,normal
Fusion Node—Liquidity + Gamma + Time,2020-12-21 12:00:00,Highest,1.0,normal
Fusion Node—Liquidity + Gamma + Time,2020-12-28 12:00:00,Highest,1.0,normal
Fusion Node—Liquidity + Gamma + Time,2021-01-04 12:00:00,Highest,1.0,normal
Fusion Node—Liquidity + Gamma + Time,2021-01-05 10:00:00,Highest,1.0,normal
Fusion Node—Liquidity + Gamma + Time,2021-02-02 12:00:00,Highest,1.0,normal
Fusion Node—Liquidity + Gamma + Time,2021-02-16 10:00:00,Highest,1.0,normal
Fusion Node—Liquidity + Gamma + Time,2021-03-11 10:00:00,Highest,1.0,normal
Fusion Node—Liquidity + Gamma + Time,2021-04-16 10:00:00,Highest,1.0,normal
Fusion Node—Liquidity + Gamma + Time,2021-06-14 10:00:00,Highest,1.0,normal
Fusion Node—Liquidity + Gamma + Time,2021-10-11 12:00:00,Highest,1.0,normal
Fusion Node—Liquidity + Gamma + Time,2021-11-04 10:00:00,Highest,1.0,normal
Fusion Node—Liquidity + Gamma + Time,2021-11-24 10:00:00,Highest,1.0,normal
Fusion Node—Liquidity + Gamma + Time,2021-12-01 10:00:00,Highest,1.0,normal
Fusion Node—Liquidity + Gamma + Time,2022-02-11 10:00:00,Highest,1.0,normal
Fusion Node—Liquidity + Gamma + Time,2022-02-15 10:00:00,Highest,1.0,normal
Fusion Node—Liquidity + Gamma + Time,2022-02-22 10:00:00,Highest,1.0,normal
Fusion Node—Liquidity + Gamma + Time,2022-02-25 10:00:00,Highest,1.0,normal
Fusion Node—Liquidity + Gamma + Time,2022-02-28 12:00:00,Highest,1.0,normal
Fusion Node—Liquidity + Gamma + Time,2022-03-08 10:00:00,Highest,1.0,normal
Fusion Node—Liquidity + Gamma + Time,2022-03-09 10:00:00,Highest,1.0,normal
Fusion Node—Liquidity + Gamma + Time,2022-03-10 10:00:00,Highest,1.0,normal
Block Order Footprint Detection,2020-01-23 17:00:00,High,1.0,normal
Block Order Footprint Detection,2020-02-21 16:00:00,High,1.0,normal
Block Order Footprint Detection,2020-02-24 16:00:00,High,1.0,normal
Block Order Footprint Detection,2020-02-25 17:00:00,High,1.0,normal
Block Order Footprint Detection,2020-03-03 17:00:00,High,1.0,normal
Block Order Footprint Detection,2020-05-01 17:00:00,High,1.0,normal
Block Order Footprint Detection,2020-05-26 17:00:00,High,1.0,normal
Block Order Footprint Detection,2020-05-27 12:00:00,High,1.0,normal
Block Order Footprint Detection,2020-06-02 11:00:00,High,1.0,normal
Block Order Footprint Detection,2020-07-09 17:00:00,High,1.0,normal
Block Order Footprint Detection,2020-09-30 17:00:00,High,1.0,normal
Block Order Footprint Detection,2020-10-30 17:00:00,High,1.0,normal
Block Order Footprint Detection,2020-11-04 04:00:00,High,1.0,normal
Block Order Footprint Detection,2020-11-30 17:00:00,High,1.0,normal
Block Order Footprint Detection,2020-12-10 16:00:00,High,1.0,normal
Block Order Footprint Detection,2020-12-21 12:00:00,High,1.0,normal
Block Order Footprint Detection,2021-02-25 20:00:00,High,1.0,normal
Block Order Footprint Detection,2021-03-16 15:00:00,High,1.0,normal
Block Order Footprint Detection,2021-03-17 20:00:00,High,1.0,normal
Block Order Footprint Detection,2021-04-13 15:00:00,High,1.0,normal
Block Order Footprint Detection,2021-04-22 16:00:00,High,1.0,normal
Block Order Footprint Detection,2021-04-30 17:00:00,High,1.0,normal
Block Order Footprint Detection,2021-05-12 17:00:00,High,1.0,normal
Block Order Footprint Detection,2021-06-04 15:00:00,High,1.0,normal
Block Order Footprint Detection,2021-06-17 18:00:00,High,1.0,normal
Block Order Footprint Detection,2021-07-02 15:00:00,High,1.0,normal
Block Order Footprint Detection,2021-07-22 17:00:00,High,1.0,normal
Block Order Footprint Detection,2021-08-04 17:00:00,High,1.0,normal
Block Order Footprint Detection,2021-08-19 17:00:00,High,1.0,normal
Block Order Footprint Detection,2021-08-27 17:00:00,High,1.0,normal
Block Order Footprint Detection,2021-09-22 21:00:00,High,1.0,normal
Block Order Footprint Detection,2021-10-28 16:00:00,High,1.0,normal
Block Order Footprint Detection,2022-01-03 16:00:00,High,1.0,normal
Block Order Footprint Detection,2022-01-06 17:00:00,High,1.0,normal
Block Order Footprint Detection,2022-01-12 15:00:00,High,1.0,normal
Block Order Footprint Detection,2022-01-26 21:00:00,High,1.0,normal
Block Order Footprint Detection,2022-02-24 11:00:00,High,1.0,normal
Block Order Footprint Detection,2022-02-24 17:00:00,High,1.0,normal
Block Order Footprint Detection,2022-05-04 21:00:00,High,1.0,normal
Block Order Footprint Detection,2022-05-19 17:00:00,High,1.0,normal
Block Order Footprint Detection,2022-06-09 16:00:00,High,1.0,normal
Block Order Footprint Detection,2022-06-15 22:00:00,High,1.0,normal
Block Order Footprint Detection,2022-07-13 17:00:00,High,1.0,normal
Block Order Footprint Detection,2022-07-21 16:00:00,High,1.0,normal
Block Order Footprint Detection,2022-08-18 16:00:00,High,1.0,normal
Block Order Footprint Detection,2022-08-23 10:00:00,High,1.0,normal
Block Order Footprint Detection,2022-09-13 15:00:00,High,1.0,normal
Block Order Footprint Detection,2022-09-21 21:00:00,High,1.0,normal
Block Order Footprint Detection,2022-10-21 16:00:00,High,1.0,normal
Block Order Footprint Detection,2022-12-15 16:00:00,High,1.0,normal
Dark Pool Signature / Block Print Node,2020-01-23 17:00:00,High,1.0,normal
Dark Pool Signature / Block Print Node,2020-02-21 16:00:00,High,1.0,normal
Dark Pool Signature / Block Print Node,2020-02-24 16:00:00,High,1.0,normal
Dark Pool Signature / Block Print Node,2020-02-25 17:00:00,High,1.0,normal
Dark Pool Signature / Block Print Node,2020-03-03 17:00:00,High,1.0,normal
Dark Pool Signature / Block Print Node,2020-05-01 17:00:00,High,1.0,normal
Dark Pool Signature / Block Print Node,2020-05-26 17:00:00,High,1.0,normal
Dark Pool Signature / Block Print Node,2020-05-27 12:00:00,High,1.0,normal
Dark Pool Signature / Block Print Node,2020-06-02 11:00:00,High,1.0,normal
Dark Pool Signature / Block Print Node,2020-07-09 17:00:00,High,1.0,normal
Dark Pool Signature / Block Print Node,2020-09-30 17:00:00,High,1.0,normal
Dark Pool Signature / Block Print Node,2020-10-30 17:00:00,High,1.0,normal
Dark Pool Signature / Block Print Node,2020-11-04 04:00:00,High,1.0,normal
Dark Pool Signature / Block Print Node,2020-11-30 17:00:00,High,1.0,normal
Dark Pool Signature / Block Print Node,2020-12-10 16:00:00,High,1.0,normal
Dark Pool Signature / Block Print Node,2020-12-21 12:00:00,High,1.0,normal
Dark Pool Signature / Block Print Node,2021-02-25 20:00:00,High,1.0,normal
Dark Pool Signature / Block Print Node,2021-03-16 15:00:00,High,1.0,normal
Dark Pool Signature / Block Print Node,2021-03-17 20:00:00,High,1.0,normal
Dark Pool Signature / Block Print Node,2021-04-13 15:00:00,High,1.0,normal
Dark Pool Signature / Block Print Node,2021-04-22 16:00:00,High,1.0,normal
Dark Pool Signature / Block Print Node,2021-04-30 17:00:00,High,1.0,normal
Dark Pool Signature / Block Print Node,2021-05-12 17:00:00,High,1.0,normal
Dark Pool Signature / Block Print Node,2021-06-04 15:00:00,High,1.0,normal
Dark Pool Signature / Block Print Node,2021-06-17 18:00:00,High,1.0,normal
Dark Pool Signature / Block Print Node,2021-07-02 15:00:00,High,1.0,normal
Dark Pool Signature / Block Print Node,2021-07-22 17:00:00,High,1.0,normal
Dark Pool Signature / Block Print Node,2021-08-04 17:00:00,High,1.0,normal
Dark Pool Signature / Block Print Node,2021-08-19 17:00:00,High,1.0,normal
Dark Pool Signature / Block Print Node,2021-08-27 17:00:00,High,1.0,normal
Dark Pool Signature / Block Print Node,2021-09-22 21:00:00,High,1.0,normal
Dark Pool Signature / Block Print Node,2021-10-28 16:00:00,High,1.0,normal
Dark Pool Signature / Block Print Node,2022-01-03 16:00:00,High,1.0,normal
Dark Pool Signature / Block Print Node,2022-01-06 17:00:00,High,1.0,normal
Dark Pool Signature / Block Print Node,2022-01-12 15:00:00,High,1.0,normal
Dark Pool Signature / Block Print Node,2022-01-26 21:00:00,High,1.0,normal
Dark Pool Signature / Block Print Node,2022-02-24 11:00:00,High,1.0,normal
Dark Pool Signature / Block Print Node,2022-02-24 17:00:00,High,1.0,normal
Dark Pool Signature / Block Print Node,2022-05-04 21:00:00,High,1.0,normal
Dark Pool Signature / Block Print Node,2022-05-19 17:00:00,High,1.0,normal
Dark Pool Signature / Block Print Node,2022-06-09 16:00:00,High,1.0,normal
Dark Pool Signature / Block Print Node,2022-06-15 22:00:00,High,1.0,normal
Dark Pool Signature / Block Print Node,2022-07-13 17:00:00,High,1.0,normal
Dark Pool Signature / Block Print Node,2022-07-21 16:00:00,High,1.0,normal
Dark Pool Signature / Block Print Node,2022-08-18 16:00:00,High,1.0,normal
Dark Pool Signature / Block Print Node,2022-08-23 10:00:00,High,1.0,normal
Dark Pool Signature / Block Print Node,2022-09-13 15:00:00,High,1.0,normal
Dark Pool Signature / Block Print Node,2022-09-21 21:00:00,High,1.0,normal
Dark Pool Signature / Block Print Node,2022-10-21 16:00:00,High,1.0,normal
Dark Pool Signature / Block Print Node,2022-12-15 16:00:00,High,1.0,normal
